Day_name,Activity,Start,Assumption_take(H),Total(H),Days,Block_time
,TV,5/12/2022,1.0,0.28,,
,Youtube,5/12/2022,1.0,0.07,,
,Youtube,5/12/2022,1.0,0.78,,
,Music,6/12/2022,1.0,0.42,,
,Finding Book(Time),6/12/2022,1.0,0.6,,
,Seaborn tuturial,7/12/2022,1.0,0.05,,
,Seaborn tuturial,7/12/2022,1.0,0.8,,
,Algorithm Trading,7/12/2022,1.0,1.98,,
,Reading book,9/12/2022,1.0,0.55,,
,Coffee Time+ Rest,12/9/2022,1.0,0.37,0.0,
,Thinking,12/9/2022,1.0,0.17,0.0,
Friday,Tv series,12/9/2022,6.0,4.7,0.0,
Saturday,Algorithm trading,12/10/2022,2.0,0.32,0.0,
Saturday,Thinking,12/10/2022,3.0,0.78,1.0,
Saturday,Algorithm trading,12/10/2022 13:02,4.0,2.3,1.0,
Saturday,Thinking,12/10/2022 15:20,3.0,0.12,1.0,
Saturday,Algorithm trading,12/10/2022 15:28,1.0,2.63,2.0,
Saturday,Seaborn tutorial,12/10/2022 18:07,3.0,0.67,2.0,
Saturday,Tv series,12/10/2022 18:47,2.0,0.9,2.0,
Saturday,Books,12/10/2022 19:45,1.0,0.63,2.0,
Saturday,Books,12/10/2022 20:26,2.0,0.32,2.0,
Monday,Algorithim trading,12/12/2022 8:51,5.0,2.38,3.0,
Monday,Cooking,12/12/2022 11:35,1.0,0.48,3.0,
Monday,Backtrader,12/12/2022 13:04,2.0,1.27,3.0,
Monday,Backtrader,12/12/2022 14:21,3.0,1.52,3.0,
Monday,Backtrader,12/12/2022 18:42,4.0,0.57,4.0,
Tuesday,Reading finance book,12/13/2022 10:49,1.0,0.82,4.0,
Tuesday,Lunch,12/13/2022 11:39,1.0,0.57,4.0,
Tuesday,Panel,12/13/2022 12:30,1.0,1.08,4.0,
Tuesday,Reading book,12/13/2022 13:35,2.0,0.5,4.0,
Tuesday,Tv series,12/13/2022 14:06,2.0,0.87,4.0,
Tuesday,Reading book,12/13/2022 14:58,3.0,4.0,5.0,
Tuesday,Reading book,12/13/2022 18:58,5.0,3.43,5.0,
Wednesday,Planning,12/14/2022 8:39,2.0,2.57,5.0,
Wednesday,Youtube,12/14/2022 11:54,1.0,0.75,5.0,
Wednesday,Book- finance,12/14/2022 13:03,2.0,4.93,6.0,
Wednesday,Modeling,12/14/2022 17:59,1.0,2.18,6.0,
Wednesday,Reading,12/14/2022 20:23,3.0,0.62,6.0,
Thursday,Thinking,12/15/2022 0:25,3.0,0.95,6.0,
Thursday,Tv series,12/15/2022 21:16,3.0,3.15,7.0,
Friday,Thinking,12/16/2022 10:57,3.0,0.35,7.0,
Friday,Coffee,12/16/2022 12:09,3.0,0.6,7.0,
Friday,Youtube,12/16/2022 12:45,3.0,0.88,7.0,
Friday,Reading,12/16/2022 16:40,3.0,0.95,8.0,
Monday,Lunch,12/19/2022 12:06,2.0,2.0,9.0,
Monday,Pandas,12/19/2022 14:39,2.0,3.4,11.0,
Monday,Rest,12/19/2022 18:05,1.0,0.95,11.0,
Monday,Reading,12/19/2022 19:03,1.0,1.15,11.0,
Tuesday,Lunch,12/20/2022 12:36,1.0,1.32,11.0,
Tuesday,Pandas,12/20/2022 17:33,3.0,2.75,12.0,
Tuesday,Dinner,12/20/2022 20:40,1.0,3.47,12.0,
Wednesday,Buying ram,12/21/2022 11:02,2.0,2.98,12.0,
Wednesday,Lunch,12/21/2022 14:01,1.0,1.95,12.0,
Wednesday,Pandas,12/21/2022 15:58,3.0,2.85,13.0,
Wednesday,Youtube,12/21/2022 20:34,2.0,0.3,13.0,
Friday,Ml,12/23/2022 16:56,1.0,3.0,15.0,
Saturday,Reading books,12/24/2022 4:42,1.0,1.22,15.0,
Tuesday,Rl,12/27/2022 9:01,3.0,1.63,18.0,
Friday,Books,2023/01/13 23:52,2.0,0.0,36.0,Reading
Saturday,Thinking some ideas,2023/01/14 10:07,1,,,Thinking
